Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
SOA,B,2,2,Lightning,BLM,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,7
EOA,A,0.1,0.1,Lightning,Industrial,Crook,Reg Use Closure,Does Not Apply - Eastern OR,95,7
NOA,A,0.25,0.25,Lightning,BLM,Marion,Reg Use Closure,Lvl 3 Restricted Shutdown,58,8
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,7
NOA,A,0.1,0.1,Human,Small Woodlands,Tillamook,Reg Use Closure,Lvl 1 Fire Season Only,51,9
SOA,B,4.2,4.2,Human,Other Public,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,77,8
NOA,A,0.01,0.01,Human,State,Linn,Reg Use Closure,Lvl 1 Fire Season Only,58,7
EOA,A,0.1,0.1,Human,Rural Residential,Hood River,Reg Use Closure,Lvl 1 Fire Season Only,95,7
SOA,D,163,163,Human,Industrial,Curry,Outside Closed Fire Season,Outside Closed Fire Season,72,1
SOA,A,0.25,0,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,10
SOA,A,0.01,0.01,Lightning,BLM,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
EOA,A,0.1,0.1,Lightning,Small Woodlands,Crook,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,95,6
SOA,A,0.01,0.01,Human,Other Public,Coos,Outside Closed Fire Season,Outside Closed Fire Season,72,6
EOA,A,0.25,0.25,Human,Rural Residential,Lake,Outside Closed Fire Season,Does Not Apply - Eastern OR,98,6
EOA,A,0.25,0.25,Human,State,Wasco,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,A,0.01,0.01,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,5
NOA,A,0.01,0.01,Human,Industrial,Polk,Reg Use Closure,Lvl 2 Limited Shutdown,55,7
SOA,A,0.25,0.25,Human,Small Woodlands,Coos,Outside Closed Fire Season,Outside Closed Fire Season,72,10
NOA,C,42,42,Human,Industrial,Columbia,Outside Closed Fire Season,Outside Closed Fire Season,53,6
SOA,A,0.25,0.25,Human,Small Woodlands,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
EOA,A,0.25,0.25,Human,Small Woodlands,Umatilla,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
SOA,A,0.25,0.25,Lightning,BLM,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,72,9
SOA,B,1,1,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,5
EOA,A,0.1,0.1,Human,Other Private,Baker,Reg Use Closure,Does Not Apply - Eastern OR,97,9
NOA,B,1.6,1.6,Human,Small Woodlands,Multnomah,Outside Closed Fire Season,Outside Closed Fire Season,53,5
SOA,B,0.75,0.75,Human,State,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,6
EOA,A,0.01,0.01,Human,Municipal,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,8
EOA,A,0.1,0.1,Lightning,Other Private,Baker,Reg Use Closure,Lvl 1 Fire Season Only,97,8
